"state","scenario","year_offset","removed_cum_Tg"
"WA","managed (harvest)",20,58.083
"WA","managed (harvest)",30,88.634
"WA","managed (harvest)",40,111.971
"WA","managed (harvest)",50,137.617
"WA","managed (harvest)",60,162.33
"WA","managed (harvest)",70,178.012
"WA","managed (harvest)",80,195.17
"WA","managed (harvest)",90,215.057
"WA","managed (harvest)",100,231.852
"WI","managed (harvest)",0,0
"WI","managed (harvest)",10,28.581
"WI","managed (harvest)",20,49.05
"WI","managed (harvest)",30,68.206
"WI","managed (harvest)",40,86.134
"WI","managed (harvest)",50,100.665
"WI","managed (harvest)",60,112.427
"WI","managed (harvest)",70,121.483
"WI","managed (harvest)",80,129.958
"WI","managed (harvest)",90,137.093
"WI","managed (harvest)",100,141.753
"WV","managed (harvest)",0,0
"WV","managed (harvest)",10,27.048
"WV","managed (harvest)",20,41.409
"WV","managed (harvest)",30,56.1
"WV","managed (harvest)",40,66.455
"WV","managed (harvest)",50,79.036
"WV","managed (harvest)",60,88.5
"WV","managed (harvest)",70,96.356
"WV","managed (harvest)",80,101.78
"WV","managed (harvest)",90,109.399
"WV","managed (harvest)",100,113.787
"WY","managed (harvest)",0,0
"WY","managed (harvest)",10,5.008
"WY","managed (harvest)",20,8.906
"WY","managed (harvest)",30,13.335
"WY","managed (harvest)",40,17.443
"WY","managed (harvest)",50,20.94
"WY","managed (harvest)",60,24.528
"WY","managed (harvest)",70,28.425
"WY","managed (harvest)",80,31.426
"WY","managed (harvest)",90,34.462
"WY","managed (harvest)",100,37.679
"AL","managed (intensive)",0,0
"AL","managed (intensive)",10,66.184
"AL","managed (intensive)",20,117.357
"AL","managed (intensive)",30,160.339
"AL","managed (intensive)",40,194.953
"AL","managed (intensive)",50,231.865
"AL","managed (intensive)",60,261.253
"AL","managed (intensive)",70,284.968
"AL","managed (intensive)",80,301.999
"AL","managed (intensive)",90,316.862
"AL","managed (intensive)",100,333.05
"AR","managed (intensive)",0,0
"AR","managed (intensive)",10,54.26
"AR","managed (intensive)",20,95.418
"AR","managed (intensive)",30,127.092
"AR","managed (intensive)",40,149.641
"AR","managed (intensive)",50,177.16
"AR","managed (intensive)",60,197.47
"AR","managed (intensive)",70,210.44
"AR","managed (intensive)",80,222.222
"AR","managed (intensive)",90,234.738
"AR","managed (intensive)",100,247.937
"AZ","managed (intensive)",0,0
"AZ","managed (intensive)",10,6.385
"AZ","managed (intensive)",20,12.146
"AZ","managed (intensive)",30,17.306
"AZ","managed (intensive)",40,21.986
"AZ","managed (intensive)",50,26.423
"AZ","managed (intensive)",60,30.04
"AZ","managed (intensive)",70,33.462
"AZ","managed (intensive)",80,36.484
"AZ","managed (intensive)",90,39.16
"AZ","managed (intensive)",100,41.671
"CA","managed (intensive)",0,0
"CA","managed (intensive)",10,51.661
"CA","managed (intensive)",20,90.798
"CA","managed (intensive)",30,124.255
"CA","managed (intensive)",40,155.114
"CA","managed (intensive)",50,179.533
"CA","managed (intensive)",60,197.656
"CA","managed (intensive)",70,218.231
"CA","managed (intensive)",80,241.663
"CA","managed (intensive)",90,257.241
"CA","managed (intensive)",100,276.705
"CO","managed (intensive)",0,0
"CO","managed (intensive)",10,18.096
"CO","managed (intensive)",20,33.911
"CO","managed (intensive)",30,46.294
"CO","managed (intensive)",40,59.082
"CO","managed (intensive)",50,69.278
"CO","managed (intensive)",60,78.019
"CO","managed (intensive)",70,85.85
"CO","managed (intensive)",80,92.815
"CO","managed (intensive)",90,99.667
"CO","managed (intensive)",100,104.836
"CT","managed (intensive)",0,0
"CT","managed (intensive)",10,2.751
"CT","managed (intensive)",20,6.728
"CT","managed (intensive)",30,8.491
"CT","managed (intensive)",40,9.76
"CT","managed (intensive)",50,11.096
"CT","managed (intensive)",60,11.565
"CT","managed (intensive)",70,12.228
"CT","managed (intensive)",80,12.593
"CT","managed (intensive)",90,13.072
"CT","managed (intensive)",100,13.305
"DE","managed (intensive)",0,0
"DE","managed (intensive)",10,3.457
"DE","managed (intensive)",20,4.118
"DE","managed (intensive)",30,5.192
"DE","managed (intensive)",40,6.984
"DE","managed (intensive)",50,7.326
"DE","managed (intensive)",60,7.728
"DE","managed (intensive)",70,8.017
"DE","managed (intensive)",80,8.847
"DE","managed (intensive)",90,10.36
"DE","managed (intensive)",100,10.654
"FL","managed (intensive)",0,0
"FL","managed (intensive)",10,20.856
"FL","managed (intensive)",20,36.389
"FL","managed (intensive)",30,55.717
"FL","managed (intensive)",40,71.38
"FL","managed (intensive)",50,80.996
"FL","managed (intensive)",60,88.965
"FL","managed (intensive)",70,99.368
"FL","managed (intensive)",80,107.171
"FL","managed (intensive)",90,114.265
"FL","managed (intensive)",100,119.376
"GA","managed (intensive)",0,0
"GA","managed (intensive)",10,50.721
"GA","managed (intensive)",20,90.106
"GA","managed (intensive)",30,127.018
"GA","managed (intensive)",40,157.998
"GA","managed (intensive)",50,185.994
"GA","managed (intensive)",60,206.511
"GA","managed (intensive)",70,223.451
"GA","managed (intensive)",80,238.889
"GA","managed (intensive)",90,251.852
"GA","managed (intensive)",100,263.747
"IA","managed (intensive)",0,0
"IA","managed (intensive)",10,7.087
"IA","managed (intensive)",20,11.054
"IA","managed (intensive)",30,14.517
"IA","managed (intensive)",40,16.509
"IA","managed (intensive)",50,18.935
"IA","managed (intensive)",60,20.275
"IA","managed (intensive)",70,21.154
"IA","managed (intensive)",80,21.549
"IA","managed (intensive)",90,21.666
"IA","managed (intensive)",100,23.091
"ID","managed (intensive)",0,0
"ID","managed (intensive)",10,25.239
"ID","managed (intensive)",20,47.571
"ID","managed (intensive)",30,67.864
"ID","managed (intensive)",40,85.28
"ID","managed (intensive)",50,99.566
"ID","managed (intensive)",60,113.122
"ID","managed (intensive)",70,124.574
"ID","managed (intensive)",80,134.518
"ID","managed (intensive)",90,141.668
"ID","managed (intensive)",100,149.455
"IL","managed (intensive)",0,0
"IL","managed (intensive)",10,12.924
"IL","managed (intensive)",20,18.436
"IL","managed (intensive)",30,26.362
"IL","managed (intensive)",40,31.51
"IL","managed (intensive)",50,34.847
"IL","managed (intensive)",60,35.691
"IL","managed (intensive)",70,36.872
"IL","managed (intensive)",80,38.008
"IL","managed (intensive)",90,39.277
"IL","managed (intensive)",100,40.011
"IN","managed (intensive)",0,0
"IN","managed (intensive)",10,12.999
"IN","managed (intensive)",20,26.599
"IN","managed (intensive)",30,37.991
"IN","managed (intensive)",40,44.249
"IN","managed (intensive)",50,49.243
