state,scope,cell_key,ft_group,prov_code,owner,response,A,k,p,d,Astar,n_plots
ID,"cell","Douglas-fir|6.2.10|Public-Other","Douglas-fir","6.2.10","Public-Other","carbon_lbac",51202.2499,0.079554,85.27172,0.000515,200,253
ID,"cell","Douglas-fir|6.2.13|Public-Other","Douglas-fir","6.2.13","Public-Other","carbon_lbac",47577.6623,0.101888,437.80275,0.005212,105,43
ID,"cell","Exotic hardwoods|6.2.13|Public-Other","Exotic hardwoods","6.2.13","Public-Other","carbon_lbac",15936.0289,0.027484,0.40062,0,185,155
ID,"cell","Douglas-fir|6.2.13|NIPF","Douglas-fir","6.2.13","NIPF","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Aspen/birch|6.2.10|Public-Other","Aspen/birch","6.2.10","Public-Other","carbon_lbac",1371685.4059,1e-04,0.79902,0.048704,105,101
ID,"cell","Aspen/birch|6.2.13|NIPF","Aspen/birch","6.2.13","NIPF","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Fir/spruce/mtn hemlock|6.2.13|Public-Other","Fir/spruce/mtn hemlock","6.2.13","Public-Other","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Fir/spruce/mtn hemlock|10.1.4|Public-Other","Fir/spruce/mtn hemlock","10.1.4","Public-Other","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Aspen/birch|10.1.4|Public-Other","Aspen/birch","10.1.4","Public-Other","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Aspen/birch|6.2.13|Public-Other","Aspen/birch","6.2.13","Public-Other","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Aspen/birch|6.2.13|Industrial","Aspen/birch","6.2.13","Industrial","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Fir/spruce/mtn hemlock|6.2.10|Public-Other","Fir/spruce/mtn hemlock","6.2.10","Public-Other","carbon_lbac",48829.701,0.018299,1.26257,0,145,114
ID,"cell","Douglas-fir|10.1.4|Public-Other","Douglas-fir","10.1.4","Public-Other","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Douglas-fir|6.2.3|Public-Other","Douglas-fir","6.2.3","Public-Other","carbon_lbac",109957.9132,0.042869,6.96582,0,185,323
ID,"cell","Fir/spruce/mtn hemlock|6.2.3|Public-Other","Fir/spruce/mtn hemlock","6.2.3","Public-Other","carbon_lbac",898052.7401,0.000912,0.94297,0.014083,105,549
ID,"cell","Douglas-fir|6.2.3|NIPF","Douglas-fir","6.2.3","NIPF","carbon_lbac",1762790.6661,0.000232,0.82374,0.020859,105,117
ID,"cell","Hemlock/Sitka spruce|6.2.3|State","Hemlock/Sitka spruce","6.2.3","State","carbon_lbac",160114.4128,0.010226,1.20129,0.001544,165,298
ID,"cell","Hemlock/Sitka spruce|6.2.3|Public-Other","Hemlock/Sitka spruce","6.2.3","Public-Other","carbon_lbac",131640.7689,0.014396,1.1727,0.000751,155,180
ID,"cell","Pinyon/juniper|10.1.8|Public-Other","Pinyon/juniper","10.1.8","Public-Other","carbon_lbac",180328.6523,1e-04,0.63355,0.004159,200,141
ID,"cell","Aspen/birch|10.1.3|NIPF","Aspen/birch","10.1.3","NIPF","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Lodgepole pine|6.2.15|Public-Other","Lodgepole pine","6.2.15","Public-Other","carbon_lbac",58248.0878,0.030405,2.23296,0.006862,105,442
ID,"cell","Other western softwoods|6.2.15|Public-Other","Other western softwoods","6.2.15","Public-Other","carbon_lbac",843376.4815,1e-04,0.85939,0.0032,195,56
ID,"cell","Fir/spruce/mtn hemlock|6.2.15|Public-Other","Fir/spruce/mtn hemlock","6.2.15","Public-Other","carbon_lbac",63480.0634,0.053316,9.23074,0.003089,200,1064
ID,"cell","Douglas-fir|6.2.15|Public-Other","Douglas-fir","6.2.15","Public-Other","carbon_lbac",61096.2048,0.026104,2.10685,0.003722,175,1077
ID,"cell","Aspen/birch|6.2.15|NIPF","Aspen/birch","6.2.15","NIPF","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Douglas-fir|6.2.15|NIPF","Douglas-fir","6.2.15","NIPF","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Aspen/birch|6.2.15|Public-Other","Aspen/birch","6.2.15","Public-Other","carbon_lbac",48789.3052,0.024588,2.02597,0.007604,35,38
ID,"cell","Ponderosa pine|6.2.15|Public-Other","Ponderosa pine","6.2.15","Public-Other","carbon_lbac",104041.0638,0.009696,1.47006,0.005232,145,244
ID,"cell","Ponderosa pine|6.2.15|NIPF","Ponderosa pine","6.2.15","NIPF","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Fir/spruce/mtn hemlock|6.2.3|State","Fir/spruce/mtn hemlock","6.2.3","State","carbon_lbac",487650.7906,0.007097,1.66423,0.019172,65,77
ID,"cell","Douglas-fir|6.2.3|State","Douglas-fir","6.2.3","State","carbon_lbac",2855221.8776,0.000509,1.0785,0.012766,105,44
ID,"cell","Lodgepole pine|6.2.3|Public-Other","Lodgepole pine","6.2.3","Public-Other","carbon_lbac",106236.0936,0.009062,0.92482,0.001288,125,130
ID,"cell","Lodgepole pine|6.2.3|Industrial","Lodgepole pine","6.2.3","Industrial","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Lodgepole pine|6.2.3|NIPF","Lodgepole pine","6.2.3","NIPF","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Douglas-fir|6.2.3|Industrial","Douglas-fir","6.2.3","Industrial","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Aspen/birch|6.2.10|NIPF","Aspen/birch","6.2.10","NIPF","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Aspen/birch|10.1.3|Industrial","Aspen/birch","10.1.3","Industrial","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Aspen/birch|6.2.10|State","Aspen/birch","6.2.10","State","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Aspen/birch|6.2.10|Industrial","Aspen/birch","6.2.10","Industrial","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Lodgepole pine|6.2.10|Public-Other","Lodgepole pine","6.2.10","Public-Other","carbon_lbac",51573.4394,0.019626,0.98387,0.004055,115,140
ID,"cell","Lodgepole pine|6.2.3|State","Lodgepole pine","6.2.3","State","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Hemlock/Sitka spruce|6.2.3|Industrial","Hemlock/Sitka spruce","6.2.3","Industrial","carbon_lbac",160114.4128,0.010226,1.20129,0.001544,165,298
ID,"cell","Hemlock/Sitka spruce|6.2.3|NIPF","Hemlock/Sitka spruce","6.2.3","NIPF","carbon_lbac",86752.654,0.012745,0.86462,0.002619,175,41
ID,"cell","Other western softwoods|6.2.10|Public-Other","Other western softwoods","6.2.10","Public-Other","carbon_lbac",582163.9354,0.000101,0.79845,0.002125,200,50
ID,"cell","Pinyon/juniper|6.2.10|Public-Other","Pinyon/juniper","6.2.10","Public-Other","carbon_lbac",180328.6523,1e-04,0.63355,0.004159,200,141
ID,"cell","Exotic hardwoods|6.2.10|Public-Other","Exotic hardwoods","6.2.10","Public-Other","carbon_lbac",1539230.8109,0.000175,1.10516,0.025065,105,43
ID,"cell","Aspen/birch|10.1.3|State","Aspen/birch","10.1.3","State","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Lodgepole pine|10.1.3|Public-Other","Lodgepole pine","10.1.3","Public-Other","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Douglas-fir|6.2.10|Industrial","Douglas-fir","6.2.10","Industrial","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Exotic hardwoods|10.1.3|State","Exotic hardwoods","10.1.3","State","carbon_lbac",15936.0289,0.027484,0.40062,0,185,155
ID,"cell","Pinyon/juniper|10.1.3|NIPF","Pinyon/juniper","10.1.3","NIPF","carbon_lbac",210781.1347,1e-04,0.62482,0,165,37
ID,"cell","Fir/spruce/mtn hemlock|10.1.3|Public-Other","Fir/spruce/mtn hemlock","10.1.3","Public-Other","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Pinyon/juniper|10.1.3|Public-Other","Pinyon/juniper","10.1.3","Public-Other","carbon_lbac",298170.4305,1e-04,0.78878,0,165,65
ID,"cell","Pinyon/juniper|10.1.3|State","Pinyon/juniper","10.1.3","State","carbon_lbac",180328.6523,1e-04,0.63355,0.004159,200,141
ID,"cell","Aspen/birch|10.1.8|NIPF","Aspen/birch","10.1.8","NIPF","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Fir/spruce/mtn hemlock|6.2.3|NIPF","Fir/spruce/mtn hemlock","6.2.3","NIPF","carbon_lbac",3675294.5919,0.000159,0.87617,0.004034,105,74
ID,"cell","Ponderosa pine|6.2.3|Public-Other","Ponderosa pine","6.2.3","Public-Other","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Exotic hardwoods|6.2.3|Public-Other","Exotic hardwoods","6.2.3","Public-Other","carbon_lbac",15936.0289,0.027484,0.40062,0,185,155
ID,"cell","Exotic hardwoods|6.2.15|Public-Other","Exotic hardwoods","6.2.15","Public-Other","carbon_lbac",15936.0289,0.027484,0.40062,0,185,155
ID,"cell","Douglas-fir|6.2.10|State","Douglas-fir","6.2.10","State","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Aspen/birch|10.1.8|State","Aspen/birch","10.1.8","State","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Douglas-fir|10.1.3|State","Douglas-fir","10.1.3","State","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Pinyon/juniper|6.2.13|Public-Other","Pinyon/juniper","6.2.13","Public-Other","carbon_lbac",180328.6523,1e-04,0.63355,0.004159,200,141
ID,"cell","Aspen/birch|10.1.8|Public-Other","Aspen/birch","10.1.8","Public-Other","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Ponderosa pine|10.1.8|Public-Other","Ponderosa pine","10.1.8","Public-Other","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Douglas-fir|6.2.15|Industrial","Douglas-fir","6.2.15","Industrial","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Fir/spruce/mtn hemlock|6.2.15|Industrial","Fir/spruce/mtn hemlock","6.2.15","Industrial","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Hemlock/Sitka spruce|6.2.15|Public-Other","Hemlock/Sitka spruce","6.2.15","Public-Other","carbon_lbac",148529.6987,0.096021,2276.18776,0,195,35
ID,"cell","Aspen/birch|6.2.3|Public-Other","Aspen/birch","6.2.3","Public-Other","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Hemlock/Sitka spruce|6.2.15|NIPF","Hemlock/Sitka spruce","6.2.15","NIPF","carbon_lbac",160114.4128,0.010226,1.20129,0.001544,165,298
ID,"cell","Ponderosa pine|6.2.3|State","Ponderosa pine","6.2.3","State","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Ponderosa pine|10.1.2|NIPF","Ponderosa pine","10.1.2","NIPF","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Douglas-fir|10.1.2|Public-Other","Douglas-fir","10.1.2","Public-Other","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Douglas-fir|6.2.9|Public-Other","Douglas-fir","6.2.9","Public-Other","carbon_lbac",125245244.6743,0.00061,2.75725,0.049749,155,39
ID,"cell","Douglas-fir|6.2.9|NIPF","Douglas-fir","6.2.9","NIPF","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Fir/spruce/mtn hemlock|6.2.9|Public-Other","Fir/spruce/mtn hemlock","6.2.9","Public-Other","carbon_lbac",87816.741,0.047465,16.91805,0.01009,125,38
ID,"cell","Ponderosa pine|6.2.9|Industrial","Ponderosa pine","6.2.9","Industrial","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Ponderosa pine|6.2.3|NIPF","Ponderosa pine","6.2.3","NIPF","carbon_lbac",76270.3326,0.015117,1.24498,0.017507,115,33
ID,"cell","Hemlock/Sitka spruce|10.1.2|Public-Other","Hemlock/Sitka spruce","10.1.2","Public-Other","carbon_lbac",160114.4128,0.010226,1.20129,0.001544,165,298
ID,"cell","Lodgepole pine|6.2.15|NIPF","Lodgepole pine","6.2.15","NIPF","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Douglas-fir|6.2.10|NIPF","Douglas-fir","6.2.10","NIPF","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Douglas-fir|10.1.2|NIPF","Douglas-fir","10.1.2","NIPF","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Lodgepole pine|10.1.8|State","Lodgepole pine","10.1.8","State","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Pinyon/juniper|10.1.5|Public-Other","Pinyon/juniper","10.1.5","Public-Other","carbon_lbac",180328.6523,1e-04,0.63355,0.004159,200,141
ID,"cell","Fir/spruce/mtn hemlock|10.1.3|Industrial","Fir/spruce/mtn hemlock","10.1.3","Industrial","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Other western softwoods|10.1.3|Public-Other","Other western softwoods","10.1.3","Public-Other","carbon_lbac",397128.9906,0.000111,0.76364,0,200,79
ID,"cell","Other western softwoods|10.1.3|State","Other western softwoods","10.1.3","State","carbon_lbac",531314.9453,1e-04,0.7399,0,200,39
ID,"cell","Other western softwoods|10.1.3|Industrial","Other western softwoods","10.1.3","Industrial","carbon_lbac",415949.5511,0.000107,0.7338,0.001753,200,238
ID,"cell","Other western softwoods|10.1.3|NIPF","Other western softwoods","10.1.3","NIPF","carbon_lbac",415949.5511,0.000107,0.7338,0.001753,200,238
ID,"cell","Fir/spruce/mtn hemlock|6.2.3|Industrial","Fir/spruce/mtn hemlock","6.2.3","Industrial","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Douglas-fir|10.1.8|State","Douglas-fir","10.1.8","State","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Ponderosa pine|6.2.15|State","Ponderosa pine","6.2.15","State","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Fir/spruce/mtn hemlock|6.2.15|NIPF","Fir/spruce/mtn hemlock","6.2.15","NIPF","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Douglas-fir|6.2.9|State","Douglas-fir","6.2.9","State","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Fir/spruce/mtn hemlock|10.1.2|Public-Other","Fir/spruce/mtn hemlock","10.1.2","Public-Other","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Pinyon/juniper|10.1.8|NIPF","Pinyon/juniper","10.1.8","NIPF","carbon_lbac",180328.6523,1e-04,0.63355,0.004159,200,141
ID,"cell","Ponderosa pine|6.2.15|Industrial","Ponderosa pine","6.2.15","Industrial","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Aspen/birch|6.2.3|Industrial","Aspen/birch","6.2.3","Industrial","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Other western softwoods|6.2.15|NIPF","Other western softwoods","6.2.15","NIPF","carbon_lbac",415949.5511,0.000107,0.7338,0.001753,200,238
ID,"cell","Fir/spruce/mtn hemlock|6.2.9|State","Fir/spruce/mtn hemlock","6.2.9","State","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Fir/spruce/mtn hemlock|6.2.15|State","Fir/spruce/mtn hemlock","6.2.15","State","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Fir/spruce/mtn hemlock|6.2.9|NIPF","Fir/spruce/mtn hemlock","6.2.9","NIPF","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Fir/spruce/mtn hemlock|10.1.2|NIPF","Fir/spruce/mtn hemlock","10.1.2","NIPF","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Fir/spruce/mtn hemlock|10.1.3|NIPF","Fir/spruce/mtn hemlock","10.1.3","NIPF","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Douglas-fir|6.2.15|State","Douglas-fir","6.2.15","State","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Lodgepole pine|10.1.8|Public-Other","Lodgepole pine","10.1.8","Public-Other","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Ponderosa pine|6.2.9|NIPF","Ponderosa pine","6.2.9","NIPF","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Lodgepole pine|6.2.9|Public-Other","Lodgepole pine","6.2.9","Public-Other","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Ponderosa pine|10.1.2|Public-Other","Ponderosa pine","10.1.2","Public-Other","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Ponderosa pine|10.1.8|State","Ponderosa pine","10.1.8","State","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Exotic hardwoods|10.1.3|NIPF","Exotic hardwoods","10.1.3","NIPF","carbon_lbac",15936.0289,0.027484,0.40062,0,185,155
ID,"cell","Douglas-fir|10.1.8|Public-Other","Douglas-fir","10.1.8","Public-Other","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Lodgepole pine|6.2.15|State","Lodgepole pine","6.2.15","State","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Ponderosa pine|6.2.9|State","Ponderosa pine","6.2.9","State","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Fir/spruce/mtn hemlock|10.1.8|Public-Other","Fir/spruce/mtn hemlock","10.1.8","Public-Other","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Aspen/birch|6.2.3|NIPF","Aspen/birch","6.2.3","NIPF","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Aspen/birch|6.2.15|Industrial","Aspen/birch","6.2.15","Industrial","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Ponderosa pine|6.2.3|Industrial","Ponderosa pine","6.2.3","Industrial","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Lodgepole pine|6.2.9|NIPF","Lodgepole pine","6.2.9","NIPF","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Lodgepole pine|6.2.15|Industrial","Lodgepole pine","6.2.15","Industrial","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Aspen/birch|6.2.9|NIPF","Aspen/birch","6.2.9","NIPF","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Douglas-fir|10.1.8|NIPF","Douglas-fir","10.1.8","NIPF","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Douglas-fir|6.2.9|Industrial","Douglas-fir","6.2.9","Industrial","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Other western softwoods|10.1.8|Public-Other","Other western softwoods","10.1.8","Public-Other","carbon_lbac",415949.5511,0.000107,0.7338,0.001753,200,238
ID,"cell","Aspen/birch|6.2.3|State","Aspen/birch","6.2.3","State","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Exotic hardwoods|10.1.5|NIPF","Exotic hardwoods","10.1.5","NIPF","carbon_lbac",15936.0289,0.027484,0.40062,0,185,155
ID,"cell","Fir/spruce/mtn hemlock|6.2.9|Industrial","Fir/spruce/mtn hemlock","6.2.9","Industrial","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Douglas-fir|10.1.3|NIPF","Douglas-fir","10.1.3","NIPF","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Douglas-fir|10.1.2|Industrial","Douglas-fir","10.1.2","Industrial","carbon_lbac",63253.7336,0.036985,2.5714,0.002981,165,2118
ID,"cell","Pinyon/juniper|10.1.8|State","Pinyon/juniper","10.1.8","State","carbon_lbac",180328.6523,1e-04,0.63355,0.004159,200,141
ID,"cell","Exotic hardwoods|6.2.10|NIPF","Exotic hardwoods","6.2.10","NIPF","carbon_lbac",15936.0289,0.027484,0.40062,0,185,155
ID,"cell","Fir/spruce/mtn hemlock|6.2.10|State","Fir/spruce/mtn hemlock","6.2.10","State","carbon_lbac",70457.761,0.04019,3.00163,0.002826,115,2053
ID,"cell","Lodgepole pine|6.2.13|Public-Other","Lodgepole pine","6.2.13","Public-Other","carbon_lbac",67388.4284,0.021525,1.4913,0.007351,95,769
ID,"cell","Ponderosa pine|10.1.2|Industrial","Ponderosa pine","10.1.2","Industrial","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
ID,"cell","Pinyon/juniper|6.2.15|State","Pinyon/juniper","6.2.15","State","carbon_lbac",180328.6523,1e-04,0.63355,0.004159,200,141
ID,"cell","Other western softwoods|6.2.10|State","Other western softwoods","6.2.10","State","carbon_lbac",415949.5511,0.000107,0.7338,0.001753,200,238
ID,"cell","Aspen/birch|10.1.8|Industrial","Aspen/birch","10.1.8","Industrial","carbon_lbac",930831.8855,0.000113,0.7467,0.029951,105,316
ID,"cell","Exotic hardwoods|6.2.10|State","Exotic hardwoods","6.2.10","State","carbon_lbac",15936.0289,0.027484,0.40062,0,185,155
ID,"cell","Exotic hardwoods|6.2.15|State","Exotic hardwoods","6.2.15","State","carbon_lbac",15936.0289,0.027484,0.40062,0,185,155
ID,"cell","Ponderosa pine|10.1.8|NIPF","Ponderosa pine","10.1.8","NIPF","carbon_lbac",1268833.5906,0.000295,0.89256,0.007863,145,471
IL,"state","IL",NA,NA,NA,"carbon_lbac",72023.1239,0.024371,1.08291,0,200,4659
IL,"cell","Oak/hickory|8.3.2|NIPF","Oak/hickory","8.3.2","NIPF","carbon_lbac",458362.1249,0.000364,0.56973,0.011398,95,1445
IL,"cell","Elm/ash/cottonwood|8.3.2|Public-Other","Elm/ash/cottonwood","8.3.2","Public-Other","carbon_lbac",8406119.9838,0.001348,1.75499,0.041926,65,81
IL,"cell","Elm/ash/cottonwood|8.3.2|NIPF","Elm/ash/cottonwood","8.3.2","NIPF","carbon_lbac",68090.2455,0.013159,0.53388,0,125,657
IL,"cell","Elm/ash/cottonwood|8.3.2|State","Elm/ash/cottonwood","8.3.2","State","carbon_lbac",83430.3206,0.019507,0.80333,0,200,56
IL,"cell","Oak/gum/cypress|8.3.2|NIPF","Oak/gum/cypress","8.3.2","NIPF","carbon_lbac",55112.6322,0.051681,2.70636,0,125,81
IL,"cell","Elm/ash/cottonwood|8.5.2|NIPF","Elm/ash/cottonwood","8.5.2","NIPF","carbon_lbac",73828.1769,0.017281,0.79271,0,200,1089
IL,"cell","Oak/hickory|8.3.2|Public-Other","Oak/hickory","8.3.2","Public-Other","carbon_lbac",2038101.9071,0.000208,0.78798,0.029758,105,170
IL,"cell","Oak/hickory|8.3.3|Public-Other","Oak/hickory","8.3.3","Public-Other","carbon_lbac",308200.4044,0.000391,0.43,0.009823,115,325
IL,"cell","Oak/hickory|8.3.2|Industrial","Oak/hickory","8.3.2","Industrial","carbon_lbac",1435541.5614,0.000149,0.68725,0.015674,105,172
IL,"cell","Maple/beech/birch|8.2.3|NIPF","Maple/beech/birch","8.2.3","NIPF","carbon_lbac",65499.1702,0.02293,1.72095,0.008322,85,89
IL,"cell","Elm/ash/cottonwood|8.2.3|NIPF","Elm/ash/cottonwood","8.2.3","NIPF","carbon_lbac",104135.0506,0.024488,2.38035,0.013012,85,144
IL,"cell","Oak/hickory|8.2.3|Industrial","Oak/hickory","8.2.3","Industrial","carbon_lbac",59086.6256,0.082007,2.87269,0,135,35
IL,"cell","Oak/hickory|8.2.3|NIPF","Oak/hickory","8.2.3","NIPF","carbon_lbac",560463.6986,0.000135,0.49426,0.006646,135,209
IL,"cell","Elm/ash/cottonwood|8.1.5|NIPF","Elm/ash/cottonwood","8.1.5","NIPF","carbon_lbac",73828.1769,0.017281,0.79271,0,200,1089
IL,"cell","White/red/jack pine|8.2.3|NIPF","White/red/jack pine","8.2.3","NIPF","carbon_lbac",3341103.3759,0.001609,1.52292,0.02771,65,39
IL,"cell","White/red/jack pine|8.3.2|NIPF","White/red/jack pine","8.3.2","NIPF","carbon_lbac",3341103.3759,0.001609,1.52292,0.02771,65,39
IL,"cell","Oak/hickory|8.2.3|Public-Other","Oak/hickory","8.2.3","Public-Other","carbon_lbac",74933.3884,0.022771,1.00164,0,200,2690
IL,"cell","Elm/ash/cottonwood|8.3.2|Industrial","Elm/ash/cottonwood","8.3.2","Industrial","carbon_lbac",4720383.3624,0.000139,0.90245,0.016254,75,46
IL,"cell","Oak/hickory|8.3.3|NIPF","Oak/hickory","8.3.3","NIPF","carbon_lbac",74851.7329,0.021314,0.78867,0.012595,95,179
IL,"cell","Loblolly/shortleaf pine|8.3.3|Public-Other","Loblolly/shortleaf pine","8.3.3","Public-Other","carbon_lbac",167409.4199,0.040236,3.56515,0.102825,75,44
IL,"cell","Elm/ash/cottonwood|8.3.3|Public-Other","Elm/ash/cottonwood","8.3.3","Public-Other","carbon_lbac",73828.1769,0.017281,0.79271,0,200,1089
IL,"cell","Oak/hickory|8.3.2|State","Oak/hickory","8.3.2","State","carbon_lbac",834832.468,0.000582,0.76073,0.021288,75,45
IL,"cell","Elm/ash/cottonwood|8.2.3|Industrial","Elm/ash/cottonwood","8.2.3","Industrial","carbon_lbac",73828.1769,0.017281,0.79271,0,200,1089
IL,"cell","Elm/ash/cottonwood|8.3.3|State","Elm/ash/cottonwood","8.3.3","State","carbon_lbac",73828.1769,0.017281,0.79271,0,200,1089
IL,"cell","Oak/hickory|8.3.3|State","Oak/hickory","8.3.3","State","carbon_lbac",74933.3884,0.022771,1.00164,0,200,2690
IL,"cell","Loblolly/shortleaf pine|8.3.2|NIPF","Loblolly/shortleaf pine","8.3.2","NIPF","carbon_lbac",133350.7759,0.048124,3.59761,0.027741,65,72
IL,"cell","Oak/hickory|8.1.5|NIPF","Oak/hickory","8.1.5","NIPF","carbon_lbac",74933.3884,0.022771,1.00164,0,200,2690
IL,"cell","Elm/ash/cottonwood|8.1.5|Industrial","Elm/ash/cottonwood","8.1.5","Industrial","carbon_lbac",73828.1769,0.017281,0.79271,0,200,1089
IL,"cell","Elm/ash/cottonwood|8.2.3|Public-Other","Elm/ash/cottonwood","8.2.3","Public-Other","carbon_lbac",73828.1769,0.017281,0.79271,0,200,1089
IL,"cell","Oak/hickory|8.2.1|NIPF","Oak/hickory","8.2.1","NIPF","carbon_lbac",74933.3884,0.022771,1.00164,0,200,2690
