"scenario","HL_saw","HL_pulp","LF_FRAC","HL_lf","DF","net_stock_d","net_subst_d"
"managed (harvest)",50,2,0.3,50,0,885,885
"managed (harvest)",25,4,0.3,50,0,-164,-164
"managed (harvest)",35,4,0.3,50,0,365,365
"managed (harvest)",50,4,0.3,50,0,942,942
"managed (harvest)",25,2,0.5,50,0,824,824
"managed (harvest)",35,2,0.5,50,0,1282,1282
"managed (harvest)",50,2,0.5,50,0,1774,1774
"managed (harvest)",25,4,0.5,50,0,881,881
"managed (harvest)",35,4,0.5,50,0,1338,1338
"managed (harvest)",50,4,0.5,50,0,1831,1831
"managed (harvest)",25,2,0.15,100,0,-800,-800
"managed (harvest)",35,2,0.15,100,0,-234,-234
"managed (harvest)",50,2,0.15,100,0,391,391
"managed (harvest)",25,4,0.15,100,0,-745,-745
"managed (harvest)",35,4,0.15,100,0,-179,-179
"managed (harvest)",50,4,0.15,100,0,446,446
"managed (harvest)",25,2,0.3,100,0,192,192
"managed (harvest)",35,2,0.3,100,0,686,686
"managed (harvest)",50,2,0.3,100,0,1230,1230
"managed (harvest)",25,4,0.3,100,0,243,243
"managed (harvest)",35,4,0.3,100,0,738,738
"managed (harvest)",50,4,0.3,100,0,1282,1282
"managed (harvest)",25,2,0.5,100,0,1513,1513
"managed (harvest)",35,2,0.5,100,0,1914,1914
"managed (harvest)",50,2,0.5,100,0,2349,2349
"managed (harvest)",25,4,0.5,100,0,1560,1560
"managed (harvest)",35,4,0.5,100,0,1961,1961
"managed (harvest)",50,4,0.5,100,0,2396,2396
"managed (harvest)",25,2,0.15,200,0,-664,-664
"managed (harvest)",35,2,0.15,200,0,-110,-110
"managed (harvest)",50,2,0.15,200,0,504,504
"managed (harvest)",25,4,0.15,200,0,-611,-611
"managed (harvest)",35,4,0.15,200,0,-57,-57
"managed (harvest)",50,4,0.15,200,0,557,557
"managed (harvest)",25,2,0.3,200,0,463,463
"managed (harvest)",35,2,0.3,200,0,935,935
"managed (harvest)",50,2,0.3,200,0,1456,1456
"managed (harvest)",25,4,0.3,200,0,510,510
"managed (harvest)",35,4,0.3,200,0,982,982
"managed (harvest)",50,4,0.3,200,0,1503,1503
"managed (harvest)",25,2,0.5,200,0,1965,1965
"managed (harvest)",35,2,0.5,200,0,2328,2328
"managed (harvest)",50,2,0.5,200,0,2726,2726
"managed (harvest)",25,4,0.5,200,0,2005,2005
"managed (harvest)",35,4,0.5,200,0,2368,2368
"managed (harvest)",50,4,0.5,200,0,2766,2766
"managed (harvest)",25,2,0.15,50,0.3,-1006,2318
"managed (harvest)",35,2,0.15,50,0.3,-424,2901
"managed (harvest)",50,2,0.15,50,0.3,218,3543
"managed (harvest)",25,4,0.15,50,0.3,-948,2376
"managed (harvest)",35,4,0.15,50,0.3,-366,2959
"managed (harvest)",50,4,0.15,50,0.3,276,3601
"managed (harvest)",25,2,0.3,50,0.3,-222,3103
"managed (harvest)",35,2,0.3,50,0.3,307,3632
"managed (harvest)",50,2,0.3,50,0.3,885,4210
"managed (harvest)",25,4,0.3,50,0.3,-164,3160
"managed (harvest)",35,4,0.3,50,0.3,365,3689
"managed (harvest)",50,4,0.3,50,0.3,942,4267
"managed (harvest)",25,2,0.5,50,0.3,824,4149
"managed (harvest)",35,2,0.5,50,0.3,1282,4606
"managed (harvest)",50,2,0.5,50,0.3,1774,5099
"managed (harvest)",25,4,0.5,50,0.3,881,4206
"managed (harvest)",35,4,0.5,50,0.3,1338,4663
"managed (harvest)",50,4,0.5,50,0.3,1831,5155
"managed (harvest)",25,2,0.15,100,0.3,-800,2525
"managed (harvest)",35,2,0.15,100,0.3,-234,3090
"managed (harvest)",50,2,0.15,100,0.3,391,3715
"managed (harvest)",25,4,0.15,100,0.3,-745,2580
"managed (harvest)",35,4,0.15,100,0.3,-179,3145
"managed (harvest)",50,4,0.15,100,0.3,446,3770
"managed (harvest)",25,2,0.3,100,0.3,192,3516
"managed (harvest)",35,2,0.3,100,0.3,686,4011
"managed (harvest)",50,2,0.3,100,0.3,1230,4555
"managed (harvest)",25,4,0.3,100,0.3,243,3568
"managed (harvest)",35,4,0.3,100,0.3,738,4063
"managed (harvest)",50,4,0.3,100,0.3,1282,4606
"managed (harvest)",25,2,0.5,100,0.3,1513,4838
"managed (harvest)",35,2,0.5,100,0.3,1914,5239
"managed (harvest)",50,2,0.5,100,0.3,2349,5674
"managed (harvest)",25,4,0.5,100,0.3,1560,4885
"managed (harvest)",35,4,0.5,100,0.3,1961,5286
"managed (harvest)",50,4,0.5,100,0.3,2396,5721
"managed (harvest)",25,2,0.15,200,0.3,-664,2660
"managed (harvest)",35,2,0.15,200,0.3,-110,3215
"managed (harvest)",50,2,0.15,200,0.3,504,3828
"managed (harvest)",25,4,0.15,200,0.3,-611,2713
"managed (harvest)",35,4,0.15,200,0.3,-57,3267
"managed (harvest)",50,4,0.15,200,0.3,557,3881
"managed (harvest)",25,2,0.3,200,0.3,463,3787
"managed (harvest)",35,2,0.3,200,0.3,935,4260
"managed (harvest)",50,2,0.3,200,0.3,1456,4781
"managed (harvest)",25,4,0.3,200,0.3,510,3834
"managed (harvest)",35,4,0.3,200,0.3,982,4307
"managed (harvest)",50,4,0.3,200,0.3,1503,4828
"managed (harvest)",25,2,0.5,200,0.3,1965,5290
"managed (harvest)",35,2,0.5,200,0.3,2328,5653
"managed (harvest)",50,2,0.5,200,0.3,2726,6051
"managed (harvest)",25,4,0.5,200,0.3,2005,5329
"managed (harvest)",35,4,0.5,200,0.3,2368,5693
"managed (harvest)",50,4,0.5,200,0.3,2766,6090
"managed (harvest)",25,2,0.15,50,0.45,-1006,3980
"managed (harvest)",35,2,0.15,50,0.45,-424,4563
"managed (harvest)",50,2,0.15,50,0.45,218,5205
"managed (harvest)",25,4,0.15,50,0.45,-948,4038
"managed (harvest)",35,4,0.15,50,0.45,-366,4621
"managed (harvest)",50,4,0.15,50,0.45,276,5263
"managed (harvest)",25,2,0.3,50,0.45,-222,4765
"managed (harvest)",35,2,0.3,50,0.45,307,5294
"managed (harvest)",50,2,0.3,50,0.45,885,5872
"managed (harvest)",25,4,0.3,50,0.45,-164,4823
"managed (harvest)",35,4,0.3,50,0.45,365,5351
"managed (harvest)",50,4,0.3,50,0.45,942,5929
"managed (harvest)",25,2,0.5,50,0.45,824,5811
"managed (harvest)",35,2,0.5,50,0.45,1282,6269
"managed (harvest)",50,2,0.5,50,0.45,1774,6761
"managed (harvest)",25,4,0.5,50,0.45,881,5868
"managed (harvest)",35,4,0.5,50,0.45,1338,6325
"managed (harvest)",50,4,0.5,50,0.45,1831,6818
"managed (harvest)",25,2,0.15,100,0.45,-800,4187
"managed (harvest)",35,2,0.15,100,0.45,-234,4753
"managed (harvest)",50,2,0.15,100,0.45,391,5377
"managed (harvest)",25,4,0.15,100,0.45,-745,4242
"managed (harvest)",35,4,0.15,100,0.45,-179,4808
"managed (harvest)",50,4,0.15,100,0.45,446,5433
"managed (harvest)",25,2,0.3,100,0.45,192,5178
"managed (harvest)",35,2,0.3,100,0.45,686,5673
"managed (harvest)",50,2,0.3,100,0.45,1230,6217
"managed (harvest)",25,4,0.3,100,0.45,243,5230
"managed (harvest)",35,4,0.3,100,0.45,738,5725
"managed (harvest)",50,4,0.3,100,0.45,1282,6269
"managed (harvest)",25,2,0.5,100,0.45,1513,6500
"managed (harvest)",35,2,0.5,100,0.45,1914,6901
"managed (harvest)",50,2,0.5,100,0.45,2349,7336
"managed (harvest)",25,4,0.5,100,0.45,1560,6547
"managed (harvest)",35,4,0.5,100,0.45,1961,6948
"managed (harvest)",50,4,0.5,100,0.45,2396,7383
"managed (harvest)",25,2,0.15,200,0.45,-664,4323
"managed (harvest)",35,2,0.15,200,0.45,-110,4877
"managed (harvest)",50,2,0.15,200,0.45,504,5491
"managed (harvest)",25,4,0.15,200,0.45,-611,4376
"managed (harvest)",35,4,0.15,200,0.45,-57,4930
"managed (harvest)",50,4,0.15,200,0.45,557,5543
"managed (harvest)",25,2,0.3,200,0.45,463,5449
"managed (harvest)",35,2,0.3,200,0.45,935,5922
"managed (harvest)",50,2,0.3,200,0.45,1456,6443
"managed (harvest)",25,4,0.3,200,0.45,510,5497
"managed (harvest)",35,4,0.3,200,0.45,982,5969
"managed (harvest)",50,4,0.3,200,0.45,1503,6490
"managed (harvest)",25,2,0.5,200,0.45,1965,6952
"managed (harvest)",35,2,0.5,200,0.45,2328,7315
"managed (harvest)",50,2,0.5,200,0.45,2726,7713
"managed (harvest)",25,4,0.5,200,0.45,2005,6991
"managed (harvest)",35,4,0.5,200,0.45,2368,7355
"managed (harvest)",50,4,0.5,200,0.45,2766,7753
"managed (harvest)",25,2,0.15,50,0.6,-1006,5643
"managed (harvest)",35,2,0.15,50,0.6,-424,6225
"managed (harvest)",50,2,0.15,50,0.6,218,6867
"managed (harvest)",25,4,0.15,50,0.6,-948,5701
"managed (harvest)",35,4,0.15,50,0.6,-366,6283
"managed (harvest)",50,4,0.15,50,0.6,276,6925
"managed (harvest)",25,2,0.3,50,0.6,-222,6427
"managed (harvest)",35,2,0.3,50,0.6,307,6956
"managed (harvest)",50,2,0.3,50,0.6,885,7534
