"state","scenario","product","year_offset","bio_Tg"
"GA","reserve (no harvest)","pulpwood",40,256.489
"GA","reserve (no harvest)","pulpwood",50,256.551
"GA","reserve (no harvest)","pulpwood",60,248.941
"GA","reserve (no harvest)","pulpwood",70,232.333
"GA","reserve (no harvest)","pulpwood",80,204.539
"GA","reserve (no harvest)","pulpwood",90,176.805
"GA","reserve (no harvest)","pulpwood",100,155.742
"GA","reserve (no harvest)","residue",0,258.142
"GA","reserve (no harvest)","residue",10,304.245
"GA","reserve (no harvest)","residue",20,320.234
"GA","reserve (no harvest)","residue",30,322.477
"GA","reserve (no harvest)","residue",40,323.019
"GA","reserve (no harvest)","residue",50,319.224
"GA","reserve (no harvest)","residue",60,302.079
"GA","reserve (no harvest)","residue",70,275.581
"GA","reserve (no harvest)","residue",80,243.707
"GA","reserve (no harvest)","residue",90,214.776
"GA","reserve (no harvest)","residue",100,192.246
"IA","reserve (no harvest)","sawtimber",0,17.573
"IA","reserve (no harvest)","sawtimber",10,20.532
"IA","reserve (no harvest)","sawtimber",20,22.629
"IA","reserve (no harvest)","sawtimber",30,22.941
"IA","reserve (no harvest)","sawtimber",40,22.448
"IA","reserve (no harvest)","sawtimber",50,21.391
"IA","reserve (no harvest)","sawtimber",60,20.078
"IA","reserve (no harvest)","sawtimber",70,18.615
"IA","reserve (no harvest)","sawtimber",80,17.02
"IA","reserve (no harvest)","sawtimber",90,15.455
"IA","reserve (no harvest)","sawtimber",100,14.076
"IA","reserve (no harvest)","pulpwood",0,24.559
"IA","reserve (no harvest)","pulpwood",10,25.348
"IA","reserve (no harvest)","pulpwood",20,25.729
"IA","reserve (no harvest)","pulpwood",30,25.592
"IA","reserve (no harvest)","pulpwood",40,24.844
"IA","reserve (no harvest)","pulpwood",50,23.663
"IA","reserve (no harvest)","pulpwood",60,22.225
"IA","reserve (no harvest)","pulpwood",70,20.619
"IA","reserve (no harvest)","pulpwood",80,18.823
"IA","reserve (no harvest)","pulpwood",90,17.054
"IA","reserve (no harvest)","pulpwood",100,15.502
"IA","reserve (no harvest)","residue",0,41.09
"IA","reserve (no harvest)","residue",10,43.445
"IA","reserve (no harvest)","residue",20,44.323
"IA","reserve (no harvest)","residue",30,44.476
"IA","reserve (no harvest)","residue",40,43.396
"IA","reserve (no harvest)","residue",50,41.486
"IA","reserve (no harvest)","residue",60,38.91
"IA","reserve (no harvest)","residue",70,35.767
"IA","reserve (no harvest)","residue",80,32.764
"IA","reserve (no harvest)","residue",90,29.827
"IA","reserve (no harvest)","residue",100,27.225
"ID","reserve (no harvest)","sawtimber",0,200.874
"ID","reserve (no harvest)","sawtimber",10,225.396
"ID","reserve (no harvest)","sawtimber",20,247.724
"ID","reserve (no harvest)","sawtimber",30,265.522
"ID","reserve (no harvest)","sawtimber",40,279.902
"ID","reserve (no harvest)","sawtimber",50,288.128
"ID","reserve (no harvest)","sawtimber",60,293.216
"ID","reserve (no harvest)","sawtimber",70,296.229
"ID","reserve (no harvest)","sawtimber",80,294.242
"ID","reserve (no harvest)","sawtimber",90,288.285
"ID","reserve (no harvest)","sawtimber",100,280.237
"ID","reserve (no harvest)","pulpwood",0,164.226
"ID","reserve (no harvest)","pulpwood",10,174.401
"ID","reserve (no harvest)","pulpwood",20,184.014
"ID","reserve (no harvest)","pulpwood",30,194.316
"ID","reserve (no harvest)","pulpwood",40,199.752
"ID","reserve (no harvest)","pulpwood",50,202.019
"ID","reserve (no harvest)","pulpwood",60,202.085
"ID","reserve (no harvest)","pulpwood",70,198.814
"ID","reserve (no harvest)","pulpwood",80,195.569
"ID","reserve (no harvest)","pulpwood",90,191.542
"ID","reserve (no harvest)","pulpwood",100,185.817
"ID","reserve (no harvest)","residue",0,236.233
"ID","reserve (no harvest)","residue",10,253.471
"ID","reserve (no harvest)","residue",20,266.912
"ID","reserve (no harvest)","residue",30,275.217
"ID","reserve (no harvest)","residue",40,280.721
"ID","reserve (no harvest)","residue",50,285.025
"ID","reserve (no harvest)","residue",60,285.98
"ID","reserve (no harvest)","residue",70,282.426
"ID","reserve (no harvest)","residue",80,277.941
"ID","reserve (no harvest)","residue",90,272.296
"ID","reserve (no harvest)","residue",100,264.204
"IL","reserve (no harvest)","sawtimber",0,42.019
"IL","reserve (no harvest)","sawtimber",10,47.155
"IL","reserve (no harvest)","sawtimber",20,49.109
"IL","reserve (no harvest)","sawtimber",30,49.306
"IL","reserve (no harvest)","sawtimber",40,47.056
"IL","reserve (no harvest)","sawtimber",50,44.472
"IL","reserve (no harvest)","sawtimber",60,42.124
"IL","reserve (no harvest)","sawtimber",70,39.543
"IL","reserve (no harvest)","sawtimber",80,37.322
"IL","reserve (no harvest)","sawtimber",90,35.226
"IL","reserve (no harvest)","sawtimber",100,33.311
